time,mean_D,std_D,cv_D,relative_contrast_D,q_amp,moran_D
173.0,0.08467537984967452,0.04771489604502502,0.5635037732305895,1.1953632296872305,0.1587682512225558,-0.4999999999999999
173.5,0.08467794437581319,0.04771833614096242,0.563527332798508,1.1954108145251203,0.15878152740550014,-0.4999999999999999
174.0,0.08468044266198092,0.04772170472202477,0.5635504872419667,1.1954568885538057,0.15879457583532905,-0.5000000000000001
174.5,0.08468288183822212,0.04772501580131842,0.5635733546774202,1.195501524966743,0.15880746305118063,-0.5
175.0,0.08468526984502907,0.04772828590714861,0.5635960775054459,1.1955448001868534,0.15882026928976226,-0.49999999999999983
175.5,0.08468761631455683,0.047731535199626314,0.5636188297275503,1.195586796224497,0.15883309261172662,-0.4999999999999999
176.0,0.08468993244553685,0.04773478811092418,0.5636418253329212,1.1956276017571132,0.1588460536323136,-0.5
176.5,0.08469223202286795,0.04773807490160803,0.5636653298819443,1.1956673154088162,0.15885930205546053,-0.5
177.0,0.08469453162171663,0.047741432947766727,0.5636896743345976,1.1957060480297264,0.15887302447572235,-0.5
177.5,0.08469685193169035,0.04774490905532908,0.5637152735480212,1.1957439274900814,0.1588874548156602,-0.5
178.0,0.08469921825577469,0.04774856164637035,0.5637426487477045,1.1957811025693421,0.15890288700853888,-0.5
178.5,0.08470166259490029,0.04775246446755247,0.56377245740661,1.1958177506193317,0.15891969186514393,-0.5
179.0,0.08470422444608476,0.04775671011907976,0.5638055295515688,1.1958540837709548,0.15893833757646245,-0.4999999999999999
179.5,0.08470695428901982,0.047761416127222726,0.5638429161820757,1.195890361543874,0.1589594170643536,-0.4999999999999999
180.0,0.084709914599829,0.0477667304725259,0.5638859476860141,1.1959269003018016,0.1589836809988771,-0.5
180.5,0.08471318594335783,0.047772841700667916,0.563936312495796,1.1959640945015737,0.15901208227567803,-0.5
181.0,0.08471686808588956,0.047779987519671,0.5639961509345414,1.1960024309125812,0.15904582913448895,-0.4999999999999999
181.5,0.0847210902743496,0.047788471417877995,0.5640681825874303,1.1960425237824324,0.1590864573037433,-0.5
182.0,0.0847260129190289,0.04779867647366092,0.5641558575326947,1.1960851375153787,0.15913591579422506,-0.5
182.5,0.08473184388727166,0.047811091991272606,0.5642635613463234,1.1961312428918942,0.15919668333161802,-0.5
183.0,0.084738843354701,0.047826337134236986,0.564396860292804,1.1961820574640132,0.15927190795418744,-0.4999999999999999
183.5,0.0847473429681071,0.04784519931533023,0.5645628245045485,1.1962391230333616,0.15936559140627685,-0.5
184.0,0.08475776798730583,0.04786868139358236,0.5647704337937692,1.1963043971904244,0.1594828214438011,-0.4999999999999999
184.5,0.08477064893524891,0.047898051099494604,0.5650310773966233,1.196380341951378,0.15963005921199444,-0.5
185.0,0.08478667908530874,0.04793493080304625,0.5653592205777533,1.1964701115709129,0.15981552414614236,-0.4999999999999999
185.5,0.08480671134786746,0.04798136257668599,0.5657731777839128,1.1965776531097936,0.1600496443498535,-0.5
186.0,0.08483188388389228,0.04803997300672345,0.5662961943940183,1.1967080653471487,0.1603456898925739,-0.4999999999999999
186.5,0.08486350570421898,0.04811400693798145,0.5669575695550069,1.196867578976889,0.1607204428378602,-0.49999999999999994
187.0,0.08490353433249578,0.04820776507706576,0.5677945618644857,1.1970645787365823,0.1611953322414417,-0.5000000000000001
187.5,0.08495411353798216,0.048326476867553356,0.5688538771691974,1.1973091011954156,0.1617973667852142,-0.5
188.0,0.08501819172988256,0.048476902568186014,0.5701944675817793,1.197614226585969,0.16256086543043438,-0.5
188.5,0.08509945305229727,0.04866754556982072,0.5718902275425016,1.1979963634244937,0.1635292161793071,-0.49999999999999983
189.0,0.08520261022485494,0.048909155154298015,0.5740335304895442,1.198476265863172,0.16475724706314523,-0.5
189.5,0.08533365870404014,0.04921527145753618,0.576739263321966,1.199080062021028,0.16631408892858202,-0.5
190.0,0.08550024468599433,0.049602921068158744,0.5801494633182509,1.1998405900047358,0.16828669989422726,-0.49999999999999994
190.5,0.08571212307474996,0.05009345518592483,0.5844383896807467,1.2007989794924931,0.17078411566631213,-0.49999999999999994
191.0,0.0859817438233478,0.05071355986884676,0.5898177637922692,1.2020065165659326,0.17394249724245656,-0.5
191.5,0.08632501249484559,0.051496468525129305,0.5965416863183672,1.2035268000959967,0.1779309917577806,-0.49999999999999994
192.0,0.08676227014056383,0.05248340097277648,0.6049104165641119,1.205438129248353,0.18295830603388366,-0.49999999999999983
192.5,0.08731956366751094,0.053725266985847966,0.6152718214490754,1.2078360007420867,0.18927970713463155,-0.5000000000000001
193.0,0.08803029911614185,0.05528468894024706,0.6280188695861159,1.2108354661810357,0.19720385027811146,-0.5000000000000001
193.5,0.08893740263365976,0.05723843625658788,0.643581154403143,1.2145729115134247,0.20709835115144104,-0.4999999999999999
194.0,0.09009615969494088,0.05968043607062232,0.6624082122112195,1.219206555476261,0.21939231980243193,-0.4999999999999999
194.5,0.09157796713308242,0.06272564481707633,0.6849425334581027,1.2892562500766958,0.23457313707000205,-0.4999999999999999
195.0,0.09347531026435411,0.06651523752341809,0.7115808156753776,1.3714299880331013,0.25317362861861775,-0.4999999999999999
195.5,0.0959084075928426,0.07122382523684323,0.7426233739507785,1.461274636839849,0.27574473776901876,-0.49999999999999983
196.0,0.09903410090051173,0.07706969546915655,0.7782137139466706,1.5586464199603993,0.30280829228733525,-0.5
196.5,0.10305776050117552,0.08432940288470743,0.8182731943194664,1.663029496670038,0.3347855102708916,-0.4999999999999999
197.0,0.10824918521885431,0.09335836213825627,0.8624393980380332,1.7734369865048754,0.37190085764410247,-0.5
197.5,0.114963643201899,0.10461932911539136,0.9100209962175523,1.888332888968147,0.41406910677839304,-0.49999999999999983
198.0,0.1236692503297801,0.11872070223687069,0.959985622297269,2.005606384750001,0.46078619750873745,-0.5
198.5,0.13498158720178477,0.13646615505606338,1.0109982989906565,2.1226353259980977,0.5110587802810004,-0.49999999999999994
199.0,0.14970557748026925,0.15891589870861367,1.0615228997033082,2.236468408851168,0.56341543329726,-0.5000000000000001
199.5,0.16888293198877596,0.18745750674452516,1.1099849140289895,2.344128339531735,0.6160332546859716,-0.5
200.0,0.19384123058724212,0.22388107976485708,1.1549714118436476,2.442992607991047,0.6669794810880542,-0.4999999999999999
200.5,0.22623951402087636,0.27045158151778986,1.1954215102001757,2.531160453983573,0.7145162935246344,-0.5
201.0,0.26810861664035707,0.32997506605053606,1.2307514401641448,2.607692914934736,0.7573745537330581,-0.4999999999999999
201.5,0.321896078631185,0.4058701435266921,1.260873214897784,2.6726408896499967,0.7949006320233366,-0.5
202.0,0.3905415770793218,0.5022766538294903,1.286102897381075,2.7268510227691367,0.8270303313259978,-0.4999999999999998
202.5,0.4776055350856979,0.6242290390928185,1.3069970786264267,2.7716273096644937,0.8541206817690069,-0.5
203.0,0.5874060131901321,0.7778325998032032,1.324182222069684,2.808381103118979,0.8767292786227029,-0.5
203.5,0.7249635107995114,0.9701718494818502,1.3382354215482042,2.8383901497582316,0.8954370217431497,-0.4999999999999999
204.0,0.8953934626105059,1.2084583402500115,1.349639449819937,2.862713070229167,0.9107633222551311,-0.49999999999999994
204.5,1.1024586007903328,1.4980148422402653,1.3587946442309629,2.8822215589382716,0.9231614425953745,-0.5
205.0,1.3465484787331126,1.839456094403383,1.3660526326790834,2.8976763875381093,0.9330498976247273,-0.5
205.5,1.6232209951129064,2.2266428536814185,1.3717435028164726,2.909787727357043,0.9408401187596029,-0.49999999999999994
206.0,1.9236528436403428,2.647297159425478,1.3761823855991098,2.9192307316675805,0.9469389792166282,-0.4999999999999999
206.5,2.2370764158874445,3.086398210227813,1.3796570328615456,2.9266202076452377,0.951726764162162,-0.5
207.0,2.5536479225574547,3.530190305484459,1.382410736539204,2.932475090731793,0.955529722249432,-0.4999999999999999
207.5,2.866125806247387,3.9685354980739964,1.3846340901797303,2.9372014861963485,0.9586057818439248,-0.5
208.0,3.1700318102116714,4.395147643396839,1.3864679935509427,2.9410994147880514,0.9611467485705885,-0.5
208.5,3.4629737362092134,4.806652533185952,1.3880129909525716,2.9443828741493885,0.963290031526552,-0.5000000000000001
209.0,3.743860743846502,5.201494729966859,1.3893397980991036,2.9472023308521877,0.9651325372910289,-0.49999999999999994
209.5,4.012335131493275,5.579144959337386,1.3904982451605405,2.9496637904137337,0.9667426848972711,-0.4999999999999999
210.0,4.268436162107136,5.939630874989263,1.3915238858948127,2.9518428767880507,0.9681693625079001,-0.5000000000000001
210.5,4.512416819724773,6.2832811565245015,1.3924425441060515,2.9537945123499583,0.9694481193182668,-0.5000000000000001
211.0,4.744644938420227,6.610587338941442,1.3932733481090573,2.955559376386801,0.9706053112755109,-0.49999999999999983
211.5,4.965548477763054,6.922127248321768,1.3940307459127133,2.957168193137642,0.9716608602749781,-0.5000000000000001
212.0,5.175584156845933,7.21852103845422,1.3947258550333916,2.9586446035041516,0.9726301053493126,-0.49999999999999994
