parameter,tier,multiplier,value,n_branches,branch,D_star,N_star,A_star,ASC_star,nonuniform_max_re_lambda,uniform_re_lambda,dominant_lambda_graph,oscillatory
d_A,tier2,0.31622776601683794,0.31622776601683794,1,0,0.02764029559737974,4.780590779795538,1.5042733223996445,0.07869592848628812,0.1229815436968495,-0.09999999999999987,-3.0,False
d_A,tier2,0.5623413251903491,0.5623413251903491,1,0,0.1660138447847511,1.323180679305213,1.4062610864159502,0.09615452832293485,0.04131624055180332,-0.10000000000000002,-3.0,False
d_A,tier2,1.0,1.0,1,0,28.548283450528967,0.008860086156202866,0.9105849035401942,0.3452575001267988,-0.03235953748503029,-0.09999999999997704,-3.0,False
d_A,tier2,1.7782794100389228,1.7782794100389228,1,0,48.06852752099152,0.005263970105710964,0.512243827198039,1.672763239774454,-0.09377963613600197,-0.10000000000001792,-3.0,False
d_A,tier2,3.1622776601683795,3.1622776601683795,1,0,48.34624746784832,0.005233747607647933,0.28805674364243694,5.304310825083887,-0.0997323980617013,-0.09999999999997951,-3.0,False
d_A,tier2,5.623413251903491,5.623413251903491,1,0,48.35319839178254,0.005232995633705755,0.16198622313722416,8.639877407112026,-0.09998115365650982,-0.10000000000000002,-3.0,False
d_A,tier2,10.0,10.0,1,0,48.353824956800736,0.0052329278604221425,0.09109154799924679,9.727679865446952,-0.0999973657145886,-0.1,-3.0,False
d_ASC,tier1,0.5,0.05,1,0,44.556138934181575,0.0056786965510216645,0.9108748529725651,0.6898785350274294,-0.04230586797376561,-0.05002046835914797,-3.0,False
d_ASC,tier1,0.5946035575013605,0.05946035575013606,1,0,42.282029726097925,0.00598393848373709,0.9108470334546468,0.5801677095222904,-0.04433222936944976,-0.05950185403194494,-3.0,False
d_ASC,tier1,0.7071067811865476,0.07071067811865477,1,0,38.925954050572706,0.006499519878851804,0.9108000437578768,0.48793385441912124,-0.0433385661630982,-0.07079519198770205,-3.0,False
d_ASC,tier1,0.8408964152537145,0.08408964152537146,1,0,34.31154812100228,0.007372966637548691,0.9107204384836665,0.41040571740432696,-0.03911090900028281,-0.08426290701847704,-3.0,False
d_ASC,tier1,1.0,0.1,1,0,28.548283450528967,0.008860086156202866,0.9105849035401942,0.3452575001267988,-0.03235953748503029,-0.09999999999997704,-3.0,False
d_ASC,tier1,1.189207115002721,0.11892071150027211,1,0,22.155791483371576,0.011413521707637991,0.9103521853633546,0.2905408087976848,-0.02431053761072886,-0.09999999999999928,-3.0,False
d_ASC,tier1,1.414213562373095,0.1414213562373095,1,0,15.93598824481728,0.015861144293165527,0.9099468324188508,0.24463007312007323,-0.016254667888729247,-0.09999999999999973,-3.0,False
d_ASC,tier1,1.681792830507429,0.16817928305074292,1,0,10.61208335090847,0.0237994774629861,0.9092233387628671,0.20618296448813203,-0.00914359356931995,-0.0999999999999996,-3.0,False
d_ASC,tier1,2.0,0.2,1,0,6.53830784504278,0.03857084826343874,0.9078770872468764,0.17412404666584091,-0.0033609887842771954,-0.10000000000000017,-3.0,False
d_ASC,tier2,0.1,0.010000000000000002,1,0,48.32240786247564,0.005236328297402165,0.9109151700792242,3.448950480886826,-0.00999153055828979,-0.010000031257848091,-3.0,False
d_ASC,tier2,0.1778279410038923,0.01778279410038923,1,0,48.17093658564016,0.005252785040049436,0.910913670224198,1.9394966338565036,-0.017690099919661247,-0.017783109228745375,-3.0,False
d_ASC,tier2,0.31622776601683794,0.0316227766016838,1,0,47.33604523650989,0.00534538171869511,0.9109052310332328,1.0906883756482757,-0.030537972692077385,-0.03162597660408075,-3.0,False
d_ASC,tier2,0.5623413251903491,0.05623413251903491,1,0,43.119463957139324,0.0058677910639385,0.9108576190422739,0.6134320142226078,-0.04397023757180676,-0.05626717222130243,-3.0,False
d_ASC,tier2,1.0,0.1,1,0,28.548283450528967,0.008860086156202866,0.9105849035401942,0.3452575001267988,-0.03235953748503029,-0.09999999999997704,-3.0,False
d_ASC,tier2,1.7782794100389228,0.1778279410038923,1,0,9.158943005574384,0.027565048443785295,0.9088801474836044,0.1952091112618957,-0.007135478973954178,-0.10000000000000116,-3.0,False
d_ASC,tier2,3.1622776601683795,0.316227766016838,1,0,1.1302777185028845,0.21907739119398367,0.8914258580177634,0.11610800643339217,0.011088567536439551,-0.09999999999999981,-3.0,False
d_ASC,tier2,5.623413251903491,0.5623413251903492,1,0,0.15130235148040833,1.433395236945859,0.7807538518226559,0.09546778808555482,0.21508462743982487,-0.09999999999999974,-3.0,False
d_ASC,tier2,10.0,1.0,1,0,0.06406170018952279,2.8325104098649656,0.6532395575819272,0.08830696764165134,0.5551217539499247,-0.09999999999999969,-3.0,False
f_D,tier1,0.5,0.025,1,0,28.92647523743947,0.008744348524238828,0.9105954517800694,0.345245916219255,-0.03227282869550561,-0.09999999999999207,-3.0,False
f_D,tier1,0.5946035575013605,0.02973017787506803,1,0,28.854915547496795,0.008766015346900075,0.9105934770823079,0.3452480847618873,-0.03228916012130123,-0.10000000000002457,-3.0,False
